interaction_id,lead_id,interaction_type,timestamp,channel,device_type,campaign_id
IT00077,LD00685,Ad Clicked,2024-02-20,Instagram,Desktop,CP885
IT00078,LD00963,Demo Booked,2025-09-24,LinkedIn,Desktop,CP542
IT00079,LD01434,Demo Booked,2025-10-16,Instagram,Mobile,CP696
IT00080,LD00806,Email Opened,2025-05-17,Email Campaign,Mobile,CP170
IT00081,LD00418,Email Opened,2024-01-29,Google Ads,Mobile,CP970
IT00082,LD01051,Email Opened,2024-06-05,LinkedIn,Mobile,CP654
IT00083,LD00811,Email Opened,2025-06-27,Google Ads,Desktop,CP774
IT00084,LD00156,Ad Clicked,2025-08-21,Email Campaign,Desktop,CP947
IT00085,LD01423,Email Opened,2024-07-27,LinkedIn,Mobile,CP105
IT00086,LD01126,Ad Clicked,2024-09-30,LinkedIn,Desktop,CP625
IT00087,LD01162,Demo Booked,2024-01-08,Instagram,Mobile,CP341
IT00088,LD00250,Email Opened,2024-08-05,Google Ads,Mobile,CP328
IT00089,LD00544,Ad Clicked,2024-12-14,LinkedIn,Mobile,CP956
IT00090,LD00350,Ad Clicked,2024-02-07,Email Campaign,Mobile,CP958
IT00091,LD00944,Page Viewed,2025-07-03,Instagram,Desktop,CP568
IT00092,LD01076,Email Opened,2025-02-18,LinkedIn,Mobile,CP659
IT00093,LD00453,Page Viewed,2024-04-11,Google Ads,Mobile,CP957
IT00094,LD00498,Ad Clicked,2025-02-20,Google Ads,Mobile,CP272
IT00095,LD00019,Ad Clicked,2024-09-15,Email Campaign,Desktop,CP475
IT00096,LD01015,Page Viewed,2024-08-11,Instagram,Mobile,CP314
IT00097,LD00912,Ad Clicked,2024-06-10,Email Campaign,Mobile,CP727
IT00098,LD01454,Page Viewed,2025-01-18,Instagram,Mobile,CP562
IT00099,LD00505,Ad Clicked,2024-08-11,LinkedIn,Mobile,CP405
IT00100,LD00414,Ad Clicked,2024-03-17,Instagram,Desktop,CP596
IT00101,LD01098,Email Opened,2024-05-21,Google Ads,Desktop,CP477
IT00102,LD01458,Ad Clicked,2025-01-28,Email Campaign,Mobile,CP633
IT00103,LD00887,Demo Booked,2025-06-05,Google Ads,Desktop,CP807
IT00104,LD01403,Demo Booked,2024-06-16,Email Campaign,Mobile,CP796
IT00105,LD00150,Page Viewed,2024-04-06,Email Campaign,Desktop,CP747
IT00106,LD01254,Page Viewed,2024-10-22,Instagram,Desktop,CP220
IT00107,LD00286,Demo Booked,2025-06-02,LinkedIn,Mobile,CP793
IT00108,LD00701,Demo Booked,2025-05-07,Instagram,Desktop,CP253
IT00109,LD00815,Email Opened,2024-02-23,LinkedIn,Desktop,CP811
IT00110,LD00404,Demo Booked,2024-12-16,LinkedIn,Desktop,CP662
IT00111,LD01082,Ad Clicked,2025-02-10,LinkedIn,Desktop,CP368
IT00112,LD00925,Email Opened,2024-12-13,Instagram,Desktop,CP268
IT00113,LD00876,Page Viewed,2024-08-18,LinkedIn,Desktop,CP750
IT00114,LD01481,Page Viewed,2024-12-31,LinkedIn,Desktop,CP183
IT00115,LD00065,Demo Booked,2024-08-04,Email Campaign,Desktop,CP523
IT00116,LD00587,Page Viewed,2024-07-22,LinkedIn,Mobile,CP789
IT00117,LD00683,Demo Booked,2024-04-17,Instagram,Desktop,CP609
IT00118,LD01121,Demo Booked,2025-04-16,Instagram,Desktop,CP827
IT00119,LD01015,Ad Clicked,2024-06-03,Instagram,Desktop,CP412
IT00120,LD01002,Page Viewed,2025-06-12,Instagram,Mobile,CP226
IT00121,LD00468,Email Opened,2024-10-21,Google Ads,Mobile,CP549
IT00122,LD00473,Ad Clicked,2025-09-07,Email Campaign,Desktop,CP230
IT00123,LD00023,Ad Clicked,2024-02-25,LinkedIn,Desktop,CP711
IT00124,LD01043,Ad Clicked,2025-02-21,LinkedIn,Mobile,CP985
IT00125,LD00250,Demo Booked,2024-09-16,Google Ads,Desktop,CP165
IT00126,LD01284,Demo Booked,2024-08-09,Instagram,Desktop,CP443
IT00127,LD01476,Demo Booked,2025-08-30,Instagram,Mobile,CP831
IT00128,LD00418,Email Opened,2024-01-19,Google Ads,Desktop,CP150
IT00129,LD01239,Ad Clicked,2025-09-05,LinkedIn,Desktop,CP759
IT00130,LD00524,Ad Clicked,2025-03-15,Email Campaign,Mobile,CP394
IT00131,LD01263,Demo Booked,2024-10-24,LinkedIn,Mobile,CP311
IT00132,LD01154,Email Opened,2025-04-24,Instagram,Desktop,CP741
IT00133,LD01115,Page Viewed,2025-02-15,Instagram,Desktop,CP853
IT00134,LD00740,Page Viewed,2024-03-06,Email Campaign,Mobile,CP748
IT00135,LD01011,Email Opened,2025-03-01,Instagram,Mobile,CP214
IT00136,LD00407,Page Viewed,2024-06-02,Instagram,Mobile,CP618
IT00137,LD00063,Email Opened,2024-11-12,Email Campaign,Mobile,CP572
IT00138,LD01296,Email Opened,2024-06-03,Instagram,Desktop,CP128
IT00139,LD00409,Ad Clicked,2024-12-07,Email Campaign,Mobile,CP922
IT00140,LD01093,Demo Booked,2024-08-18,LinkedIn,Mobile,CP869
IT00141,LD00441,Ad Clicked,2024-06-08,Email Campaign,Desktop,CP863
IT00142,LD01074,Demo Booked,2025-08-02,Instagram,Desktop,CP703
IT00143,LD00095,Ad Clicked,2024-04-18,Instagram,Mobile,CP156
IT00144,LD00994,Demo Booked,2024-05-07,Email Campaign,Mobile,CP215
IT00145,LD00503,Demo Booked,2025-04-28,Instagram,Mobile,CP235
IT00146,LD00870,Page Viewed,2025-01-26,Google Ads,Mobile,CP171
IT00147,LD00327,Page Viewed,2025-09-18,Email Campaign,Desktop,CP772
IT00148,LD00504,Page Viewed,2024-07-17,Instagram,Mobile,CP858
IT00149,LD00745,Demo Booked,2025-01-19,LinkedIn,Mobile,CP902
IT00150,LD00662,Page Viewed,2024-12-11,Instagram,Desktop,CP924
IT00151,LD00327,Page Viewed,2025-08-03,Email Campaign,Desktop,CP801
IT00152,LD01370,Ad Clicked,2024-12-25,Google Ads,Desktop,CP310
IT00153,LD00398,Page Viewed,2025-03-23,Instagram,Mobile,CP958
IT00154,LD00678,Demo Booked,2025-01-09,LinkedIn,Mobile,CP673
IT00155,LD00997,Demo Booked,2024-07-26,Instagram,Mobile,CP214
IT00156,LD00464,Demo Booked,2025-04-09,Email Campaign,Desktop,CP583
IT00157,LD01147,Page Viewed,2024-02-28,Google Ads,Mobile,CP413
IT00158,LD00151,Ad Clicked,2024-07-20,Email Campaign,Mobile,CP887
IT00159,LD01015,Demo Booked,2024-06-16,Instagram,Desktop,CP168
IT00160,LD00009,Ad Clicked,2025-01-03,Google Ads,Mobile,CP259
IT00161,LD00026,Page Viewed,2024-03-21,LinkedIn,Mobile,CP288
IT00162,LD00104,Email Opened,2025-07-02,LinkedIn,Desktop,CP673
IT00163,LD00523,Ad Clicked,2025-03-13,Google Ads,Desktop,CP954
IT00164,LD00063,Ad Clicked,2024-11-05,Email Campaign,Mobile,CP910
IT00165,LD01214,Page Viewed,2025-07-27,Instagram,Desktop,CP283
IT00166,LD00212,Page Viewed,2024-04-01,LinkedIn,Desktop,CP964
IT00167,LD00686,Email Opened,2025-04-19,Email Campaign,Desktop,CP674
IT00168,LD00363,Ad Clicked,2025-01-31,Email Campaign,Mobile,CP506
IT00169,LD00859,Demo Booked,2024-06-22,Google Ads,Desktop,CP535
IT00170,LD00016,Page Viewed,2024-07-26,Google Ads,Desktop,CP138
IT00171,LD00210,Ad Clicked,2024-02-27,Instagram,Mobile,CP875
IT00172,LD01438,Page Viewed,2025-01-20,Email Campaign,Mobile,CP811
IT00173,LD00953,Demo Booked,2025-06-21,Instagram,Desktop,CP797
IT00174,LD00172,Email Opened,2024-09-26,Google Ads,Desktop,CP490
IT00175,LD01155,Demo Booked,2024-08-05,LinkedIn,Desktop,CP468
IT00176,LD00210,Ad Clicked,2024-04-02,Instagram,Desktop,CP271
IT00177,LD00259,Page Viewed,2024-11-10,LinkedIn,Desktop,CP456
IT00178,LD00138,Demo Booked,2024-06-11,Instagram,Mobile,CP263
IT00179,LD00889,Demo Booked,2025-08-10,LinkedIn,Mobile,CP732
IT00180,LD00575,Demo Booked,2024-08-17,Instagram,Mobile,CP277
IT00181,LD00024,Email Opened,2025-02-06,Instagram,Desktop,CP620
IT00182,LD01367,Page Viewed,2025-02-24,LinkedIn,Desktop,CP726
IT00183,LD01187,Page Viewed,2024-12-01,Google Ads,Mobile,CP742
IT00184,LD00668,Demo Booked,2025-03-23,Instagram,Desktop,CP407
IT00185,LD00083,Demo Booked,2024-05-20,Google Ads,Desktop,CP757
IT00186,LD01164,Email Opened,2024-06-22,Google Ads,Desktop,CP793
IT00187,LD00487,Ad Clicked,2024-04-29,Email Campaign,Desktop,CP230
IT00188,LD00979,Page Viewed,2025-01-17,LinkedIn,Mobile,CP879
IT00189,LD00028,Ad Clicked,2024-03-06,LinkedIn,Desktop,CP746
IT00190,LD01139,Ad Clicked,2025-01-02,Instagram,Mobile,CP501
IT00191,LD00903,Page Viewed,2025-01-30,Google Ads,Mobile,CP148
IT00192,LD00406,Email Opened,2024-10-04,LinkedIn,Desktop,CP757
IT00193,LD01263,Page Viewed,2024-12-09,LinkedIn,Mobile,CP190
IT00194,LD01015,Email Opened,2024-07-30,Instagram,Desktop,CP393
IT00195,LD00185,Demo Booked,2025-02-16,Google Ads,Mobile,CP373
IT00196,LD00024,Page Viewed,2025-02-11,Instagram,Mobile,CP261
IT00197,LD01437,Ad Clicked,2024-05-22,Instagram,Desktop,CP967
IT00198,LD00889,Ad Clicked,2025-05-30,LinkedIn,Desktop,CP502
IT00199,LD00285,Demo Booked,2025-09-10,LinkedIn,Mobile,CP913
IT00200,LD00033,Demo Booked,2025-07-28,Email Campaign,Desktop,CP478
IT00201,LD01109,Ad Clicked,2024-01-20,Google Ads,Mobile,CP750
IT00202,LD01104,Ad Clicked,2024-11-02,Instagram,Desktop,CP271
IT00203,LD01211,Page Viewed,2024-10-31,Instagram,Mobile,CP379
IT00204,LD00554,Ad Clicked,2024-04-27,LinkedIn,Mobile,CP357
IT00205,LD01396,Email Opened,2024-06-25,Email Campaign,Mobile,CP633
IT00206,LD00391,Page Viewed,2024-10-05,Email Campaign,Mobile,CP536
IT00207,LD00323,Page Viewed,2024-05-14,LinkedIn,Desktop,CP845
IT00208,LD00444,Ad Clicked,2024-03-20,Email Campaign,Desktop,CP762
IT00209,LD01206,Demo Booked,2024-07-24,Google Ads,Mobile,CP905
IT00210,LD00590,Email Opened,2024-04-17,Email Campaign,Mobile,CP559
IT00211,LD00281,Demo Booked,2025-02-20,LinkedIn,Desktop,CP844
IT00212,LD01059,Email Opened,2024-06-22,LinkedIn,Mobile,CP923
IT00213,LD00316,Email Opened,2024-05-11,LinkedIn,Mobile,CP260
IT00214,LD00432,Page Viewed,2025-04-28,Email Campaign,Mobile,CP989
IT00215,LD00102,Email Opened,2024-03-22,Email Campaign,Mobile,CP544
IT00216,LD01265,Page Viewed,2024-05-18,Instagram,Mobile,CP410
IT00217,LD01070,Ad Clicked,2025-02-09,Google Ads,Desktop,CP237
IT00218,LD01034,Demo Booked,2025-02-04,Instagram,Desktop,CP113
IT00219,LD00549,Email Opened,2025-05-13,Instagram,Desktop,CP955
IT00220,LD00749,Page Viewed,2025-07-10,LinkedIn,Mobile,CP698
IT00221,LD00991,Page Viewed,2024-11-15,Email Campaign,Mobile,CP368
IT00222,LD01355,Demo Booked,2024-09-17,Instagram,Desktop,CP970
IT00223,LD01406,Demo Booked,2025-01-15,Google Ads,Mobile,CP666
IT00224,LD00107,Email Opened,2024-08-01,Instagram,Desktop,CP500
IT00225,LD00242,Demo Booked,2024-07-27,LinkedIn,Desktop,CP272
IT00226,LD00604,Email Opened,2024-05-29,LinkedIn,Desktop,CP643
IT00227,LD00485,Demo Booked,2024-05-11,Google Ads,Desktop,CP190
IT00228,LD01003,Email Opened,2025-03-10,Instagram,Desktop,CP711
IT00229,LD01250,Email Opened,2025-01-04,LinkedIn,Mobile,CP698
IT00230,LD00279,Ad Clicked,2025-09-24,LinkedIn,Mobile,CP203
IT00231,LD00357,Demo Booked,2024-10-26,Email Campaign,Mobile,CP839
IT00232,LD00379,Demo Booked,2025-08-17,Google Ads,Mobile,CP791
IT00233,LD01084,Page Viewed,2024-12-26,Instagram,Mobile,CP189
IT00234,LD01087,Email Opened,2024-02-03,LinkedIn,Desktop,CP173
IT00235,LD01105,Page Viewed,2025-06-21,Google Ads,Desktop,CP242
IT00236,LD01499,Ad Clicked,2024-02-21,Email Campaign,Desktop,CP593
IT00237,LD00665,Page Viewed,2025-10-03,Email Campaign,Desktop,CP469
IT00238,LD00425,Ad Clicked,2025-04-11,LinkedIn,Desktop,CP729
IT00239,LD01256,Demo Booked,2024-04-18,Email Campaign,Mobile,CP829
IT00240,LD00778,Demo Booked,2024-07-07,Email Campaign,Desktop,CP613
IT00241,LD00574,Demo Booked,2025-09-05,Email Campaign,Desktop,CP432
IT00242,LD00285,Demo Booked,2025-06-30,LinkedIn,Mobile,CP989
IT00243,LD00436,Email Opened,2025-08-31,Instagram,Mobile,CP763
IT00244,LD00704,Ad Clicked,2025-01-06,Instagram,Desktop,CP380
IT00245,LD01370,Email Opened,2024-12-05,Google Ads,Desktop,CP609
IT00246,LD00915,Ad Clicked,2025-05-21,LinkedIn,Desktop,CP492
IT00247,LD00268,Page Viewed,2025-03-31,Google Ads,Desktop,CP691
IT00248,LD01034,Ad Clicked,2025-03-12,Instagram,Desktop,CP660
IT00249,LD00703,Demo Booked,2024-11-03,Instagram,Desktop,CP524
IT00250,LD00951,Email Opened,2024-12-29,Email Campaign,Desktop,CP218
IT00251,LD00314,Page Viewed,2024-03-09,Google Ads,Mobile,CP988
IT00252,LD00569,Page Viewed,2024-10-26,Instagram,Desktop,CP786
IT00253,LD01331,Ad Clicked,2025-09-25,Email Campaign,Mobile,CP985
IT00254,LD01332,Email Opened,2024-08-08,Google Ads,Mobile,CP137
IT00255,LD01204,Ad Clicked,2024-07-14,Google Ads,Desktop,CP833
IT00256,LD01042,Demo Booked,2024-04-01,Instagram,Mobile,CP238
IT00257,LD00543,Demo Booked,2024-04-11,Instagram,Desktop,CP564
IT00258,LD00550,Ad Clicked,2024-07-28,Google Ads,Mobile,CP130
IT00259,LD00551,Demo Booked,2024-02-17,Email Campaign,Mobile,CP161
IT00260,LD01012,Page Viewed,2024-05-11,Instagram,Desktop,CP490
IT00261,LD00700,Ad Clicked,2024-03-28,Instagram,Desktop,CP763
IT00262,LD01149,Email Opened,2025-02-01,Instagram,Desktop,CP832
IT00263,LD01465,Email Opened,2025-06-22,Instagram,Desktop,CP109
IT00264,LD00817,Demo Booked,2024-01-13,LinkedIn,Mobile,CP300
IT00265,LD01498,Email Opened,2024-11-26,Instagram,Mobile,CP419
IT00266,LD00357,Ad Clicked,2024-09-23,Email Campaign,Desktop,CP541
IT00267,LD00594,Email Opened,2025-05-09,Google Ads,Desktop,CP834
IT00268,LD01327,Email Opened,2024-08-04,LinkedIn,Desktop,CP870
IT00269,LD00230,Ad Clicked,2025-06-02,LinkedIn,Desktop,CP727
IT00270,LD00405,Page Viewed,2025-06-12,Email Campaign,Mobile,CP323
IT00271,LD01415,Ad Clicked,2025-07-28,LinkedIn,Mobile,CP185
IT00272,LD01048,Demo Booked,2025-04-24,Email Campaign,Desktop,CP984
IT00273,LD01023,Demo Booked,2025-06-29,Instagram,Mobile,CP824
IT00274,LD01028,Page Viewed,2025-02-22,Instagram,Desktop,CP779
IT00275,LD01167,Demo Booked,2025-05-02,Email Campaign,Mobile,CP568
IT00276,LD00416,Ad Clicked,2025-08-21,Instagram,Desktop,CP810
IT00277,LD01436,Page Viewed,2024-06-28,Instagram,Desktop,CP864
IT00278,LD00740,Page Viewed,2024-04-09,Email Campaign,Desktop,CP633
IT00279,LD01367,Demo Booked,2025-03-25,LinkedIn,Desktop,CP627
IT00280,LD01339,Demo Booked,2024-06-20,Instagram,Mobile,CP551
IT00281,LD01097,Page Viewed,2024-03-02,Instagram,Desktop,CP634
IT00282,LD00757,Email Opened,2024-06-19,Email Campaign,Mobile,CP791
IT00283,LD00616,Demo Booked,2025-07-17,Instagram,Desktop,CP634
IT00284,LD00544,Ad Clicked,2024-12-23,LinkedIn,Mobile,CP668
IT00285,LD00877,Page Viewed,2024-09-16,LinkedIn,Desktop,CP847
IT00286,LD01451,Ad Clicked,2024-09-13,Instagram,Mobile,CP682
IT00287,LD00725,Demo Booked,2024-06-15,Google Ads,Desktop,CP166
IT00288,LD01394,Demo Booked,2024-04-25,Google Ads,Mobile,CP103
IT00289,LD00004,Page Viewed,2024-05-08,Email Campaign,Mobile,CP585
IT00290,LD00802,Ad Clicked,2025-08-23,Email Campaign,Desktop,CP673
IT00291,LD00747,Page Viewed,2024-05-18,LinkedIn,Desktop,CP859
IT00292,LD00067,Page Viewed,2025-06-07,Instagram,Mobile,CP178
IT00293,LD00399,Email Opened,2024-10-09,LinkedIn,Mobile,CP995
IT00294,LD00651,Ad Clicked,2025-06-23,Google Ads,Desktop,CP618
IT00295,LD01267,Ad Clicked,2024-10-07,Google Ads,Desktop,CP236
IT00296,LD01430,Email Opened,2025-08-14,Email Campaign,Desktop,CP285
IT00297,LD00216,Ad Clicked,2024-02-10,Instagram,Desktop,CP352
IT00298,LD01173,Ad Clicked,2025-03-04,Email Campaign,Desktop,CP937
IT00299,LD01472,Ad Clicked,2025-05-28,LinkedIn,Desktop,CP725
IT00300,LD01358,Demo Booked,2025-09-20,Instagram,Desktop,CP656
IT00301,LD00562,Page Viewed,2025-04-01,Email Campaign,Desktop,CP900
IT00302,LD01255,Demo Booked,2024-07-30,Email Campaign,Mobile,CP549
IT00303,LD00969,Demo Booked,2025-07-18,Instagram,Desktop,CP479
IT00304,LD00831,Email Opened,2025-06-11,LinkedIn,Desktop,CP550
IT00305,LD00993,Page Viewed,2024-07-18,LinkedIn,Desktop,CP991
IT00306,LD00584,Ad Clicked,2024-10-03,Google Ads,Desktop,CP803
IT00307,LD00370,Demo Booked,2025-04-14,Google Ads,Mobile,CP344
IT00308,LD00156,Email Opened,2025-07-31,Email Campaign,Desktop,CP152
IT00309,LD00782,Ad Clicked,2025-04-28,Email Campaign,Mobile,CP826
IT00310,LD00953,Ad Clicked,2025-08-18,Instagram,Desktop,CP205
IT00311,LD01040,Ad Clicked,2025-03-15,Instagram,Desktop,CP668
IT00312,LD00656,Ad Clicked,2025-02-17,Instagram,Mobile,CP556
IT00313,LD00657,Ad Clicked,2025-07-23,Email Campaign,Desktop,CP256
IT00314,LD00555,Page Viewed,2024-12-02,LinkedIn,Desktop,CP574
IT00315,LD00199,Ad Clicked,2024-12-08,Email Campaign,Desktop,CP678
IT00316,LD01158,Demo Booked,2024-10-11,Instagram,Desktop,CP766
IT00317,LD01227,Demo Booked,2024-05-29,Email Campaign,Desktop,CP201
IT00318,LD01413,Page Viewed,2024-02-12,Email Campaign,Desktop,CP713
IT00319,LD00233,Ad Clicked,2025-09-05,Email Campaign,Mobile,CP902
IT00320,LD01275,Demo Booked,2025-01-24,Email Campaign,Mobile,CP773
IT00321,LD00387,Demo Booked,2024-05-22,Email Campaign,Mobile,CP515
IT00322,LD00175,Ad Clicked,2025-08-16,Email Campaign,Desktop,CP178
IT00323,LD00280,Page Viewed,2025-04-11,Google Ads,Mobile,CP252
IT00324,LD00936,Page Viewed,2024-02-18,Google Ads,Mobile,CP691
IT00325,LD00341,Page Viewed,2024-01-27,LinkedIn,Desktop,CP280
IT00326,LD00391,Ad Clicked,2024-09-18,Email Campaign,Desktop,CP519
IT00327,LD00368,Email Opened,2025-05-21,Email Campaign,Desktop,CP662
IT00328,LD00100,Demo Booked,2025-05-08,LinkedIn,Mobile,CP777
IT00329,LD01310,Email Opened,2024-12-28,Instagram,Desktop,CP274
IT00330,LD01424,Demo Booked,2025-05-20,Email Campaign,Desktop,CP888
IT00331,LD00412,Email Opened,2025-06-18,Email Campaign,Desktop,CP886
IT00332,LD00610,Ad Clicked,2025-01-09,Email Campaign,Desktop,CP470
IT00333,LD00430,Demo Booked,2025-07-06,Email Campaign,Desktop,CP866
IT00334,LD00624,Demo Booked,2024-11-06,Google Ads,Desktop,CP470
IT00335,LD00580,Demo Booked,2024-02-20,Google Ads,Desktop,CP692
IT00336,LD00632,Ad Clicked,2024-01-16,Google Ads,Desktop,CP532
IT00337,LD01437,Ad Clicked,2024-07-12,Instagram,Desktop,CP936
IT00338,LD00795,Demo Booked,2025-05-07,Google Ads,Desktop,CP511
IT00339,LD01428,Page Viewed,2024-09-15,LinkedIn,Desktop,CP497
IT00340,LD00479,Email Opened,2024-10-10,Google Ads,Mobile,CP653
IT00341,LD01495,Page Viewed,2025-06-21,LinkedIn,Desktop,CP398
IT00342,LD00481,Page Viewed,2024-06-25,Google Ads,Desktop,CP427
IT00343,LD00481,Page Viewed,2024-07-02,Google Ads,Mobile,CP654
IT00344,LD00429,Ad Clicked,2025-02-05,Instagram,Desktop,CP334
IT00345,LD01258,Demo Booked,2024-04-15,Email Campaign,Desktop,CP399
IT00346,LD00075,Email Opened,2025-09-03,LinkedIn,Desktop,CP585
IT00347,LD01026,Ad Clicked,2024-12-11,Instagram,Desktop,CP124
IT00348,LD00904,Page Viewed,2025-05-07,Instagram,Mobile,CP583
IT00349,LD00338,Demo Booked,2024-04-28,Email Campaign,Mobile,CP873
IT00350,LD01025,Ad Clicked,2023-12-18,Google Ads,Mobile,CP933
IT00351,LD00025,Page Viewed,2025-08-29,Instagram,Desktop,CP511
IT00352,LD01370,Demo Booked,2024-12-18,Google Ads,Desktop,CP207
IT00353,LD00371,Demo Booked,2024-10-22,Google Ads,Mobile,CP128
IT00354,LD00132,Ad Clicked,2024-12-29,Instagram,Desktop,CP777
